Guideline ID,Domain ,Scorer 1,Scorer 2,Issuing Organisation
95,2,1,1,2
95,2,6,7,2
95,3,1,1,2
95,3,1,2,2
95,3,1,1,2
95,3,2,1,2
95,3,5,4,2
95,3,3,3,2
95,3,1,1,2
95,3,1,1,2
95,4,5,6,2
95,4,4,4,2
95,4,5,5,2
95,5,1,3,2
95,5,5,5,2
95,5,1,2,2
95,5,3,4,2
95,6,1,1,2
95,6,1,1,2
,,,,
96,1,6,5,2
96,1,4,4,2
96,1,6,5,2
96,2,6,4,2
96,2,2,1,2
96,2,2,4,2
96,3,2,2,2
96,3,2,1,2
96,3,2,3,2
96,3,2,2,2
96,3,5,4,2
96,3,6,4,2
96,3,2,1,2
96,3,4,2,2
96,4,3,4,2
96,4,6,4,2
96,4,4,3,2
96,5,3,2,2
96,5,5,3,2
96,5,2,2,2
96,5,4,4,2
96,6,2,1,2
96,6,1,1,2
,,,,
97,1,2,2,2
97,1,3,3,2
97,1,5,3,2
97,2,2,1,2
97,2,1,1,2
97,2,2,3,2
97,3,1,1,2
97,3,1,1,2
97,3,1,1,2
97,3,1,1,2
97,3,3,2,2
97,3,1,1,2
97,3,1,1,2
97,3,1,1,2
97,4,3,2,2
97,4,3,2,2
97,4,4,2,2
97,5,1,1,2
97,5,2,2,2
97,5,1,1,2
97,5,3,3,2
97,6,1,1,2
97,6,1,1,2
,,,,
100,1,2,3,2
100,1,3,3,2
100,1,4,4,2
100,2,2,3,2
100,2,1,1,2
100,2,1,3,2
100,3,1,1,2
100,3,1,1,2
100,3,1,2,2
100,3,1,1,2
100,3,4,4,2
100,3,1,1,2
100,3,1,1,2
100,3,2,1,2
100,4,3,4,2
100,4,5,4,2
100,4,4,3,2
100,5,4,2,2
100,5,3,2,2
100,5,3,2,2
100,5,3,2,2
100,6,1,1,2
100,6,1,1,2
